p,d,q,P,D,Q,s,AIC,RMSE
0,0,3,3,0,0,12,221.6129758178709,1.6647056799348463
0,0,3,3,0,1,12,227.40256915124763,1.6243879301749546
0,0,3,3,0,2,12,2057.6688781782213,234872964017.5492
0,0,3,3,0,3,12,220.02265352868807,1.5917531742505833
0,0,3,3,1,0,12,179.15361661335083,1.6154113843535216
0,0,3,3,1,1,12,179.3547712825196,1.6846319009324127
0,0,3,3,1,2,12,180.7241504888018,1.602511151772007
0,0,3,3,1,3,12,165.4544473142556,1.4677067093366893
0,0,3,3,2,0,12,130.37671661347727,1.8130605618414568
0,0,3,3,2,1,12,130.94535234411745,1.7873343411668134
0,0,3,3,2,2,12,138.35958594746296,1.5962502662233926
0,0,3,3,2,3,12,122.61374475112726,1.4631451822119195
0,0,4,0,0,0,12,491.0346351958312,17.695718155204023
0,0,4,0,0,1,12,396.8194304423469,10.631371014775608
0,0,4,0,0,2,12,2790.1430531020237,293.9205094965844
0,0,4,0,0,3,12,269.34946825352176,5.513939870321469
0,0,4,0,1,0,12,285.13343436478425,1.503796717847801
0,0,4,0,1,1,12,237.47915045803234,1.6208000048163516
0,0,4,0,1,2,12,2284.192922617287,497.68434354406077
0,0,4,0,1,3,12,161.26017658132716,1.639529489552926
0,0,4,0,2,0,12,302.8831016790219,2.2973074833825056
0,0,4,0,2,1,12,214.02629497573838,1.4578110849628352
0,0,4,0,2,2,12,161.86647016997998,1.355657390480675
0,0,4,0,2,3,12,119.96682712617182,1.3502098708406645
0,0,4,1,0,0,12,309.51028689301984,1.5942234448904054
0,0,4,1,0,1,12,286.07552792908496,1.6161249366085246
0,0,4,1,0,2,12,2512.1756311842987,3263.7492885006072
0,0,4,1,0,3,12,217.60204558864925,1.5415822309842342
0,0,4,1,1,0,12,253.6994228793048,1.577008013661403
0,0,4,1,1,1,12,239.50372941619017,1.6213487961311006
0,0,4,1,1,2,12,2290.0453804089316,554.911017513634
0,0,4,1,1,3,12,162.1260420348528,1.6413652800073226
